NU_INSCRICAO,NU_NOTA_MT
73ff9fcc02f0a99919906c942c2e1a1042cdcf98,468.31212287536783
71a95f9f1b91a82c65ad94abbdf9f54e6066f968,450.765685628181
b38a03232f43b11c9d0788abaf060f7366053b6d,495.45068937318433
70b682d9a3636be23f6120fa9d6b164eb3c6002d,482.98703069279776
715494628a50142ce8cb17191cfe6d0f3cae0934,520.8073642076412
e656d6bad65c93fb2880f1eba5037008c8e75774,507.2451069358512
465cd2a6907fb37d9d8ad3c065f0e2dabdba9b13,600.3508788260906
11539e86171bf07d3a36f09377d7f54ebcc8406a,435.97763204410705
043c544a2104aa8a9849f1a703a08d37a2f16839,426.2553586072741
76ba050e64ad100b856f0eaabd8f539d5c7dd185,441.2684047780508
8b7c167ea7b55c8168ec60c3851b1b598a8fbd11,461.0022904765789
db4da599aab5bb08dce27094a35fd3e36cd0abce,455.68202829627404
940aede382ccb332fab15d413217695ec44ca765,447.62514972066936
9ad714b116da76d878dd399d187fccc2dd13dd63,512.743497203073
dd34464a4d780b12a089347ad580418ac57a3055,540.6223979880123
f837a4cb05a5fd59d20138182f5e8c721eadd584,479.30206585672744
fbfa8cde21a692b51fb86342110b4a334a0fcfdb,478.35089523354804
ca8477c8493b09f34d17bb287f9bacf2dd744c32,465.5569397268248
8b0c675d7fde14953668269d378c588f0df0498b,462.19429882368945
051c4f04fcbe385e1b3964aeb87f0a41d7f203d0,435.44339500301305
3d203727f27abd83b71732d88d8cb1cc099f363b,465.83744133293175
d30d31c8ff45094e9a992c63d4a6f68b245a341a,514.6267287516642
c0c6a803c271a955a7085a59cd3d4d43bcf7a1a6,433.7852526769803
cbc301183dec912f3513ca766bf03dd565f3a38f,465.44123929506446
856aa14bcd11bd289a3b970aab0ce1b166f2c50f,552.6852843689295
11282da1ee78c8db45a041db4c744e33df489df0,475.1808119185988
03c67f683a415c2ea09b582248bd4cb08528c19d,585.2603441909897
046e844fb06a07ba30b41521f0065a8d9c6e5024,443.16145576718696
b296bc595a212a2f89a35470a4bdbb3bfc3f7f1a,468.2197337995112
153eebe4d270fe850d2ede7f53cbc81a6f4ddf91,507.1689400579844
a4e821c6f16fdae0a26cbbb7018b75812dfd074b,424.91252083649806
f66c2e5ff22a95fa532e78c7c4bf1d145247211d,500.94914895774656
17f0dd5abd53dea135ffd020e8e8e0761b3a56aa,500.66723628088613
fbbd23fcfb37cf90b8c1f58eafcab62771f3cd71,463.34459043982304
a99286ac4fdce6f63b59569b2d8ed85a5c911ea3,479.2727496998059
f8d4f9a26c5f2023c33701a8888f9c02513a02c7,476.9120353368363
9785b7d9ca2e8dccfe60ecc0cd2abe1ff51906be,535.1769233358483
59bfa081e020013410d9f60f91813964ba749bb2,483.7276953439125
f5e069ee3bc95998464e8ff5da048b7f999921ed,407.4922771671585
e02240b518016d03a1b5bcc6d0a37b7a527ea93d,424.00121041222786
664f44258212a1f7e4086f2b4845d586c543fa3f,464.75446198462834
265cd7befa74a9f2a198fc57baec9858075f8419,509.6544325443694
6f9ac44919bbd204e0ef15185388fd2d4bc61253,474.020379291228
78de1ee60b55766cc3eba4089e36c57139b66ebd,458.45386628224566
24550edb10f283ef4e953fd6a8fedbfa211bd456,427.53487129820746
1e61a474acdc043eb39a89c17fab34bd2ea1a940,448.23206827393085
940af68ded6af2875708611051aa7ff3f134d80b,486.19773108388205
e7ec3258f3b280c1ddf452d107fbdc9fb5a6b72e,467.83511021158137
c76ddf6e9f80984e901b12f9462a3cf029bea290,675.4890242880516
7d39df837488ca3fa6e512fd9e20ec7753b4c36d,456.2160383812595
65bba36aa15f0c4ef3562ea56c125d931bc4ed63,493.63960612155114
1045c54b5ea9f6e08454ec57c47e4ce0e33190bd,496.1982353241689
92823d467a2ced9529801e0e8a94802dd88f0c17,436.6267982200229
9d0fbf9bf1bb039de65a6d0e143c9a791c62b941,527.919998802547
