NU_INSCRICAO,NU_NOTA_MT
73ff9fcc02f0a99919906c942c2e1a1042cdcf98,458.03073705987504
71a95f9f1b91a82c65ad94abbdf9f54e6066f968,454.8977994316261
b38a03232f43b11c9d0788abaf060f7366053b6d,502.59692385653597
70b682d9a3636be23f6120fa9d6b164eb3c6002d,479.55112213750056
715494628a50142ce8cb17191cfe6d0f3cae0934,508.4684876033407
e656d6bad65c93fb2880f1eba5037008c8e75774,491.0558051662724
465cd2a6907fb37d9d8ad3c065f0e2dabdba9b13,587.9823334786499
11539e86171bf07d3a36f09377d7f54ebcc8406a,432.38901548033164
043c544a2104aa8a9849f1a703a08d37a2f16839,422.8116119706749
76ba050e64ad100b856f0eaabd8f539d5c7dd185,451.5777387045123
8b7c167ea7b55c8168ec60c3851b1b598a8fbd11,448.1689458597741
db4da599aab5bb08dce27094a35fd3e36cd0abce,465.88156243188376
940aede382ccb332fab15d413217695ec44ca765,462.3644208823404
9ad714b116da76d878dd399d187fccc2dd13dd63,512.4850880200506
dd34464a4d780b12a089347ad580418ac57a3055,540.7178553649338
f837a4cb05a5fd59d20138182f5e8c721eadd584,470.87928020360084
fbfa8cde21a692b51fb86342110b4a334a0fcfdb,476.8913647843904
ca8477c8493b09f34d17bb287f9bacf2dd744c32,465.2041922422035
8b0c675d7fde14953668269d378c588f0df0498b,456.3563266929939
051c4f04fcbe385e1b3964aeb87f0a41d7f203d0,435.7497961624868
3d203727f27abd83b71732d88d8cb1cc099f363b,459.2873285966009
d30d31c8ff45094e9a992c63d4a6f68b245a341a,523.5307314061502
c0c6a803c271a955a7085a59cd3d4d43bcf7a1a6,430.2077034472272
cbc301183dec912f3513ca766bf03dd565f3a38f,448.58032096885137
856aa14bcd11bd289a3b970aab0ce1b166f2c50f,526.4968378620904
11282da1ee78c8db45a041db4c744e33df489df0,449.6717628033833
03c67f683a415c2ea09b582248bd4cb08528c19d,586.2358637489516
046e844fb06a07ba30b41521f0065a8d9c6e5024,439.21540212926504
b296bc595a212a2f89a35470a4bdbb3bfc3f7f1a,510.7285405575647
153eebe4d270fe850d2ede7f53cbc81a6f4ddf91,511.7590967163444
a4e821c6f16fdae0a26cbbb7018b75812dfd074b,420.7588578180422
f66c2e5ff22a95fa532e78c7c4bf1d145247211d,505.64934401578023
17f0dd5abd53dea135ffd020e8e8e0761b3a56aa,487.1863183738461
fbbd23fcfb37cf90b8c1f58eafcab62771f3cd71,464.65500985162413
a99286ac4fdce6f63b59569b2d8ed85a5c911ea3,470.2001335610905
f8d4f9a26c5f2023c33701a8888f9c02513a02c7,472.2525267952579
9785b7d9ca2e8dccfe60ecc0cd2abe1ff51906be,503.596701178645
59bfa081e020013410d9f60f91813964ba749bb2,478.4858658018441
f5e069ee3bc95998464e8ff5da048b7f999921ed,404.84259335751426
e02240b518016d03a1b5bcc6d0a37b7a527ea93d,416.036383081137
664f44258212a1f7e4086f2b4845d586c543fa3f,456.94072259062307
265cd7befa74a9f2a198fc57baec9858075f8419,511.2172569423926
6f9ac44919bbd204e0ef15185388fd2d4bc61253,471.1995359560123
78de1ee60b55766cc3eba4089e36c57139b66ebd,453.1133690579401
